ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
7016,500000.0,2,1,1,45,0,0,0,0,0,0,93669.0,101892.0,76452.0,20965.0,50466.0,61566.0,10147.0,5331.0,10000.0,30000.0,12000.0,10000.0
881,200000.0,1,1,2,30,-1,-1,-1,0,0,0,4935.0,-200.0,11463.0,11751.0,11772.0,5318.0,0.0,11663.0,9363.0,3232.0,3000.0,1000.0
14710,500000.0,2,1,1,39,-1,0,-1,-1,-1,-1,28852.0,112344.0,26834.0,33120.0,21771.0,52277.0,90668.0,26834.0,33452.0,21881.0,52539.0,57159.0
2559,50000.0,1,2,2,39,0,0,0,0,0,0,26813.0,22999.0,17485.0,10588.0,8368.0,940.0,1708.0,1454.0,289.0,1508.0,1042.0,0.0
3831,230000.0,2,2,2,37,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29367,20000.0,1,2,2,26,3,2,2,2,2,2,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
23550,50000.0,2,2,1,39,0,0,0,0,0,0,48651.0,48939.0,49204.0,46415.0,28453.0,29094.0,2200.0,1739.0,9500.0,1500.0,1210.0,1000.0
11821,170000.0,2,2,1,36,-1,-1,2,-1,0,-1,2600.0,5234.0,2394.0,7794.0,5920.0,2798.0,5234.0,0.0,8000.0,1500.0,2798.0,2600.0
16817,180000.0,1,2,1,34,-1,-1,-1,-1,-1,-1,13067.0,6170.0,3439.0,1193.0,381.0,1516.0,6170.0,3444.0,1193.0,381.0,1516.0,542.0
25472,140000.0,2,2,2,26,0,0,0,0,0,2,271896.0,141057.0,144306.0,141949.0,141345.0,136379.0,14000.0,7200.0,19000.0,10400.0,0.0,4931.0
18436,320000.0,2,1,2,25,0,0,0,0,0,0,179893.0,183466.0,187397.0,187999.0,191388.0,40940.0,6558.0,7254.0,4308.0,4274.0,1296.0,1017.0
17724,60000.0,2,2,1,49,0,0,0,0,0,0,58928.0,59446.0,56761.0,41130.0,27097.0,27331.0,2500.0,2300.0,1547.0,1396.0,1200.0,2000.0
26287,350000.0,2,1,1,30,0,0,0,0,0,0,43548.0,39873.0,52449.0,53581.0,45320.0,43421.0,15000.0,15000.0,6000.0,1013.0,1445.0,5000.0
16851,230000.0,1,2,3,37,-1,0,0,0,0,-1,11770.0,16479.0,20474.0,26492.0,326.0,1056.0,10000.0,5000.0,16492.0,0.0,1056.0,326.0
5886,20000.0,2,2,1,29,1,2,2,2,2,2,12186.0,11700.0,13474.0,13006.0,13743.0,11167.0,0.0,2000.0,0.0,1055.0,0.0,215.0
640,170000.0,1,2,2,31,0,0,0,0,0,0,56364.0,58132.0,59171.0,55888.0,53672.0,51461.0,3000.0,3000.0,2000.0,3000.0,3000.0,3000.0
13074,180000.0,2,1,2,28,-2,-2,-2,-2,-2,-1,168318.0,127111.0,74197.0,-19.0,-19.0,142176.0,4163.0,1898.0,0.0,0.0,142195.0,5100.0
394,140000.0,2,2,2,29,0,0,0,0,0,0,20110.0,17102.0,18862.0,19996.0,21214.0,21085.0,3000.0,3000.0,3000.0,3500.0,2000.0,2000.0
21411,30000.0,2,2,2,24,1,2,2,2,2,0,16704.0,18121.0,19030.0,19424.0,18818.0,23307.0,2000.0,1500.0,1000.0,0.0,5000.0,2000.0
20112,230000.0,2,1,1,36,-2,-2,-2,-2,-2,-2,928.0,282.0,282.0,2427.0,282.0,282.0,282.0,282.0,2427.0,282.0,282.0,1886.0
29049,250000.0,2,1,1,53,-1,-1,-1,-1,-1,0,440.0,439.0,440.0,440.0,880.0,440.0,439.0,441.0,440.0,880.0,0.0,590.0
27981,200000.0,2,1,2,28,-2,-2,-2,-2,-2,-2,7618.0,7961.0,1452.0,6248.0,4112.0,0.0,7961.0,1452.0,6248.0,4112.0,0.0,3428.0
7867,260000.0,2,1,2,28,0,0,0,0,0,0,63504.0,66283.0,67341.0,54725.0,36117.0,35144.0,4000.0,3002.0,2000.0,2000.0,2464.0,1000.0
28259,230000.0,2,2,1,48,-2,-2,-2,-2,-2,-2,0.0,0.0,1611.0,1498.0,1301.0,309.0,0.0,1611.0,1498.0,1301.0,309.0,823.0
21895,30000.0,2,2,1,27,0,0,2,0,0,0,27347.0,31402.0,30047.0,30869.0,29403.0,29831.0,5500.0,0.0,3000.0,998.0,3000.0,3000.0
13137,300000.0,1,1,1,34,0,0,0,0,0,0,1257.0,6467.0,7655.0,7507.0,7659.0,-574.0,5600.0,1500.0,0.0,300.0,0.0,6600.0
4949,20000.0,1,1,2,24,-2,-2,-2,-2,-2,-2,299.0,-1.0,-1.0,494.0,2284.0,490.0,0.0,0.0,495.0,2290.0,491.0,1695.0
14998,50000.0,1,2,2,24,0,0,-1,0,0,0,44687.0,39137.0,39877.0,28471.0,29309.0,28409.0,2138.0,44447.0,2202.0,2004.0,1202.0,1051.0
21349,70000.0,1,1,1,67,1,-1,-1,2,2,2,275.0,400.0,2.0,2.0,2.0,2.0,10400.0,10002.0,0.0,0.0,0.0,0.0
23482,100000.0,2,1,2,30,0,0,2,2,2,2,7384.0,10253.0,9945.0,14269.0,13743.0,16011.0,3000.0,0.0,4500.0,0.0,2500.0,0.0
3113,440000.0,1,1,2,43,0,0,0,0,0,0,58108.0,51013.0,48337.0,49532.0,53714.0,56818.0,2400.0,3000.0,2000.0,5000.0,4000.0,4000.0
11538,360000.0,1,1,2,35,1,-1,-1,-2,-2,-2,0.0,1010.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0
24640,80000.0,1,1,2,26,0,0,0,0,0,0,84488.0,83593.0,72883.0,67337.0,60807.0,59088.0,2871.0,2727.0,3170.0,1940.0,2200.0,1700.0
14300,170000.0,1,1,2,32,-1,2,0,0,0,0,69013.0,67397.0,69518.0,70616.0,79267.0,84140.0,0.0,3800.0,2800.0,10000.0,6129.0,0.0
11746,110000.0,2,1,1,37,-1,-1,0,0,0,0,2610.0,54223.0,57299.0,50418.0,48093.0,3389.0,54300.0,6600.0,400.0,4000.0,1771.0,0.0
28598,60000.0,2,3,1,46,2,3,3,3,2,2,44030.0,44509.0,44999.0,45463.0,45918.0,47863.0,1500.0,1500.0,1500.0,1500.0,3000.0,5300.0
5421,200000.0,1,1,2,36,-1,-1,0,0,0,0,1801.0,9483.0,60571.0,57990.0,9568.0,82.0,9556.0,60025.0,5032.0,5054.0,5000.0,3000.0
13421,420000.0,2,2,1,36,0,0,0,0,0,0,185882.0,172613.0,134188.0,121983.0,111256.0,103481.0,10000.0,10000.0,10000.0,11256.0,13841.0,15059.0
27225,80000.0,1,3,2,34,0,0,0,0,0,2,72463.0,77862.0,78520.0,69750.0,48707.0,47418.0,7000.0,3000.0,3000.0,3600.0,0.0,2000.0
19081,210000.0,2,1,2,29,0,0,0,0,0,0,217220.0,231500.0,197027.0,198293.0,197841.0,205864.0,7700.0,10292.0,8900.0,7200.0,14300.0,10000.0
22245,130000.0,2,1,2,24,0,0,0,2,0,0,76582.0,86333.0,91715.0,89245.0,90827.0,87779.0,12000.0,7700.0,0.0,3001.0,3011.0,2816.0
21177,180000.0,1,2,1,45,0,0,0,0,0,0,130950.0,119109.0,119166.0,121661.0,122244.0,119536.0,6000.0,6000.0,6000.0,5000.0,4200.0,3862.0
23858,30000.0,1,2,2,49,1,2,2,0,0,-1,24597.0,26852.0,23117.0,24800.0,29410.0,23905.0,3000.0,0.0,3000.0,5000.0,23905.0,23771.0
4920,350000.0,2,1,2,31,2,0,0,0,0,2,20042.0,108444.0,280478.0,143142.0,160442.0,98479.0,100000.0,200000.0,0.0,135000.0,0.0,100000.0
27231,200000.0,1,1,2,36,2,2,2,0,0,0,89082.0,91055.0,89064.0,90019.0,92850.0,98666.0,4000.0,0.0,3000.0,4000.0,7000.0,4000.0
24670,480000.0,1,1,1,37,1,-1,-1,-1,0,0,6071.0,7994.0,8313.0,25714.0,25710.0,20110.0,8023.0,8351.0,25753.0,14012.0,10021.0,12462.0
6476,360000.0,1,2,1,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5592,30000.0,2,3,2,49,0,0,2,0,0,0,27838.0,30715.0,29322.0,28015.0,28610.0,28884.0,3330.0,0.0,1148.0,1195.0,910.0,1000.0
22857,150000.0,2,3,2,47,0,0,0,0,0,0,153412.0,153720.0,150540.0,153103.0,152060.0,151470.0,7000.0,7000.0,7000.0,5200.0,5500.0,6300.0
12217,280000.0,2,2,1,39,2,3,2,2,2,2,186838.0,190570.0,194189.0,189806.0,201410.0,205479.0,8000.0,8000.0,0.0,14500.0,7300.0,7500.0
14141,240000.0,2,1,2,27,1,2,0,0,0,0,21260.0,20643.0,38552.0,18580.0,12773.0,5423.0,0.0,19000.0,437.0,1000.0,1000.0,5503.0
3292,120000.0,1,1,2,31,2,0,0,2,0,0,25719.0,29961.0,32451.0,31630.0,34115.0,36551.0,5000.0,3000.0,0.0,3000.0,3000.0,4000.0
26783,280000.0,1,3,2,30,0,0,0,0,0,0,104252.0,107034.0,109958.0,112850.0,115092.0,117496.0,4510.0,4654.0,4730.0,4119.0,4258.0,4292.0
7322,360000.0,1,1,2,28,0,0,0,0,0,0,78398.0,86955.0,127146.0,103273.0,91933.0,108163.0,25126.0,60259.0,27208.0,31262.0,90114.0,30463.0
21397,480000.0,1,2,1,53,1,-1,-1,-1,-1,-1,-11.0,11349.0,13461.0,9327.0,1368.0,1538.0,11360.0,13469.0,9327.0,1368.0,1538.0,15605.0
21208,360000.0,1,2,3,32,-2,-2,-2,-2,-2,-2,10591.0,-326.0,56337.0,10959.0,7056.0,0.0,326.0,56663.0,11013.0,7091.0,0.0,0.0
20918,20000.0,1,3,1,46,-1,2,2,-1,-1,0,1836.0,1651.0,0.0,390.0,1170.0,780.0,0.0,0.0,390.0,1170.0,0.0,0.0
28581,80000.0,2,2,1,34,-1,-1,-1,-1,0,-1,1383.0,5030.0,1964.0,7541.0,3201.0,5026.0,5030.0,1964.0,7568.0,0.0,5026.0,2371.0
25642,360000.0,2,1,2,36,-1,-1,-1,-1,0,0,4279.0,9398.0,26510.0,50810.0,20800.0,0.0,9398.0,26510.0,51109.0,2080.0,0.0,10080.0
11381,140000.0,1,2,1,48,0,0,0,0,0,0,80740.0,82439.0,84125.0,85968.0,88679.0,99558.0,3000.0,3060.0,3241.0,4264.0,12400.0,0.0
12662,80000.0,1,2,2,27,0,0,0,0,0,0,38220.0,33962.0,31297.0,27679.0,7689.0,8802.0,3000.0,1000.0,730.0,2015.0,1000.0,2000.0
7060,50000.0,2,2,3,30,2,2,0,0,0,0,40087.0,38281.0,34519.0,33965.0,33273.0,31960.0,0.0,1466.0,1282.0,1293.0,1257.0,3013.0
10367,230000.0,2,1,2,32,1,-1,-1,-2,-2,-2,0.0,351.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,432.0
6247,360000.0,1,1,1,38,-1,-1,-1,-1,-1,-1,7975.0,4062.0,1914.0,4877.0,2100.0,3602.0,4062.0,1914.0,4877.0,2100.0,3602.0,9452.0
25555,450000.0,2,3,2,40,-1,0,0,-1,-1,0,10815.0,4603.0,5266.0,4425.0,15091.0,6341.0,4000.0,5000.0,4425.0,15091.0,0.0,2277.0
23059,140000.0,2,1,2,29,1,-1,-1,-1,-1,-1,0.0,1216.0,2677.0,2985.0,3739.0,1242.0,1216.0,2698.0,6069.0,3889.0,1242.0,3061.0
16737,200000.0,1,2,1,31,-2,-2,-2,-2,-2,-2,6926.0,1747.0,642.0,0.0,0.0,0.0,1747.0,642.0,0.0,0.0,0.0,500.0
23548,140000.0,2,1,1,39,0,0,0,0,0,0,27942.0,29472.0,30579.0,31227.0,34898.0,35528.0,2000.0,1600.0,2000.0,5000.0,2000.0,30000.0
27146,400000.0,1,3,1,42,0,0,0,0,0,0,95014.0,97074.0,98274.0,84698.0,58612.0,55610.0,5000.0,3532.0,4005.0,1482.0,1452.0,3000.0
5946,270000.0,1,0,2,39,1,-1,-1,-1,-1,-2,0.0,10193.0,69553.0,18607.0,0.0,0.0,10193.0,70213.0,19008.0,399.0,0.0,0.0
8364,190000.0,2,1,1,30,-1,-1,-1,-1,-1,-1,6936.0,500.0,0.0,19000.0,19000.0,19000.0,500.0,0.0,19000.0,19000.0,19000.0,19000.0
13420,20000.0,1,2,1,44,0,0,0,0,0,0,17441.0,17696.0,18672.0,18654.0,19584.0,19390.0,1309.0,1285.0,657.0,2000.0,388.0,390.0
9536,200000.0,1,1,2,26,-2,-2,-1,0,0,0,0.0,1516.0,11533.0,9463.0,3884.0,3033.0,1516.0,11533.0,189.0,1000.0,2050.0,11300.0
7802,200000.0,2,1,2,42,-1,-1,-1,-1,-1,-1,1347.0,208.0,1582.0,3607.0,894.0,301.0,208.0,1677.0,3607.0,894.0,301.0,2457.0
25433,160000.0,2,1,2,28,0,0,0,0,0,0,40854.0,41849.0,42889.0,43904.0,44777.0,45866.0,1676.0,1716.0,1731.0,1604.0,1812.0,1667.0
19130,60000.0,2,3,1,44,1,2,0,0,0,0,39466.0,32202.0,29503.0,29538.0,29971.0,29798.0,0.0,1802.0,1737.0,1170.0,1189.0,1230.0
11788,300000.0,1,1,1,51,-1,-1,-1,-1,0,0,18961.0,4371.0,3391.0,34282.0,12983.0,0.0,4387.0,3472.0,47371.0,64.0,0.0,33588.0
11586,90000.0,2,2,1,47,2,2,2,0,0,2,61066.0,62999.0,61388.0,64376.0,67347.0,74960.0,3500.0,0.0,4000.0,4000.0,8900.0,0.0
12893,130000.0,2,2,1,36,1,2,0,0,0,0,98469.0,96054.0,97910.0,96744.0,97444.0,95630.0,0.0,4400.0,4000.0,3500.0,3600.0,10000.0
20191,350000.0,2,1,2,31,0,0,0,0,0,0,35420.0,38632.0,42499.0,46590.0,52606.0,59537.0,4000.0,5000.0,5000.0,7000.0,8000.0,10000.0
3275,70000.0,2,2,1,43,0,0,0,0,0,0,71037.0,71880.0,71927.0,71370.0,71003.0,71411.0,3352.0,3400.0,2900.0,2900.0,2900.0,2558.0
3032,20000.0,1,2,2,22,0,0,2,0,0,0,8134.0,9992.0,10526.0,11049.0,11865.0,12665.0,2000.0,1000.0,1000.0,1000.0,1000.0,8100.0
17905,20000.0,1,3,2,29,1,2,0,0,0,0,5957.0,4909.0,5865.0,17935.0,19353.0,20094.0,0.0,2000.0,13500.0,2500.0,2000.0,1500.0
462,80000.0,2,2,1,36,-1,-1,-1,-1,-1,-1,1689.0,8638.0,5702.0,2980.0,1260.0,7868.0,8638.0,5723.0,2980.0,1260.0,7868.0,2198.0
5126,210000.0,2,2,2,34,1,-1,-1,-1,-1,-2,0.0,1075.0,229.0,799.0,0.0,0.0,1075.0,229.0,799.0,0.0,0.0,2247.0
14259,50000.0,1,1,2,27,2,2,2,2,2,2,6291.0,6045.0,7487.0,7218.0,7800.0,7526.0,0.0,1550.0,0.0,700.0,0.0,800.0
7212,30000.0,1,3,1,53,-1,-1,-1,-1,-1,-1,263.0,14833.0,5242.0,19705.0,10417.0,9736.0,14849.0,5250.0,19711.0,10417.0,9979.0,5108.0
5254,200000.0,1,1,1,63,-1,-1,-1,-1,-1,-1,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0
3629,340000.0,1,2,1,35,0,0,0,0,0,0,39229.0,40747.0,41930.0,43397.0,44710.0,46143.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
15872,30000.0,2,2,2,28,2,2,2,2,2,2,19334.0,20218.0,19607.0,21778.0,22124.0,22622.0,1500.0,0.0,2500.0,1000.0,1000.0,900.0
2785,100000.0,2,1,2,27,1,2,0,0,0,0,53213.0,50842.0,48205.0,47324.0,45723.0,46708.0,6.0,2031.0,1800.0,2000.0,1900.0,2000.0
9195,460000.0,1,1,1,39,2,2,5,5,5,5,2495.0,2495.0,2495.0,2495.0,2495.0,2495.0,0.0,0.0,0.0,0.0,0.0,0.0
3214,420000.0,1,2,2,28,0,0,0,0,0,0,22872.0,23309.0,24612.0,25400.0,26333.0,27887.0,1700.0,2000.0,1500.0,1500.0,2000.0,1567.0
3888,300000.0,1,3,2,43,0,0,0,0,0,0,158741.0,155438.0,146043.0,142726.0,138849.0,137499.0,5823.0,5310.0,5302.0,5035.0,5118.0,4532.0
10395,230000.0,1,1,2,28,-1,-1,-1,-1,-1,-1,326.0,326.0,326.0,326.0,1176.0,326.0,326.0,326.0,326.0,1176.0,326.0,776.0
29379,290000.0,1,1,2,28,0,0,0,2,2,2,6395.0,7330.0,8711.0,9409.0,10153.0,9846.0,1200.0,1500.0,1000.0,900.0,0.0,800.0
13377,30000.0,2,2,1,29,0,0,0,0,0,0,15455.0,6570.0,11000.0,12460.0,28778.0,24244.0,2000.0,5000.0,2000.0,17000.0,1500.0,2000.0
26919,120000.0,1,2,2,34,0,0,0,2,2,2,49206.0,50386.0,54656.0,54963.0,55865.0,54842.0,2000.0,5100.0,1800.0,2400.0,0.0,5500.0
24008,230000.0,1,2,2,27,0,0,0,0,0,0,34592.0,23689.0,27652.0,8430.0,9811.0,9865.0,1816.0,5105.0,1293.0,2000.0,528.0,3000.0
